1079968	45267,69285,1522,40507,73574,1553,34779,9993621,69047,64283,6295,39112,63224,7277,75210,41245,69828,68044,64288,4594
1114136	1376,3697,4649,9994652,40398,2794,3936,40960,4552,4104,3616,6023,4882,39038,39255,5963,38750,68871,4594,65457
1128796	2661,4594,6021,6029,12288,75944,39304,5120,40958,41260,4519,39439,68790,6112,40818,3224,69328,4350,40983,3991,1260,1799,78528,4027,78529,41242,65650,45256,4683,41110
113274	40958,2661,41110,68871,39371,39454,12485,39292,4594,6112,6021,74351,12288,6023,41282,38677,4683,5961,5976,78528
1133659	39238,4165,4186,4027,4003,4179,40896,6129,33373,74114,68140,40931,5060,68871,65049,1522,64345,4184,6023,65447
113534	6021,69950,4594,45972,4683,12288,41260,1304,1306,6112,4567,2794,43101,4350,4924,4980,6399,6477,68438,74015
1147185	3761,3748,999324,3832,3948,3990,3983,3630,3753,3680,2839,6280,2917,32690,3650,3661,3837,3848,4971,73301
1148629	40941,74914,4410,1980,4924,390,45973,37847,45972,70162,5060,68871,80354,12485,1828,4027,40995,43127,73198,74114,746
1168103	39353,4350,8445,75273,3744,1260,39439,2070,39315,41099,40975,39178,68373,69285,4217,40479,1526,1901,81365,80529,70410,1304,6399,369,3697,65443
1169743	74177,1491,4517,46410,4912,5065,73596,74041
1201824	2384,12288,6021,41260,4594,4567,1799,68438,41272,73284,6112,4683,2661,75551,75550,69285,41318,239,3748,5929
1210030320	41273,4280,39042,2678,69285,40822,39574,4312,39356,75561,41257,39046,68053,78525,4231,69702,4298,71626,2350,38796,46410
1210089790	69236,3650,74026,3982,3696,3990,40746
1210097580	4003,33041,4165,4186,4298,40896,1162,2981,1473,1220,39238,1522,36240,6129,1118,69285,65692,4171,3748,3697,1240,68653,99933481,3400,4027,99933388,4179,40931,69478,9994025
1210098850	63225
1210123640	46024,2857,3588,1323,6112,4845,4104,3811,2720,999405,4683,3851,2987,3801,3883,3670,39664,1478,9993423,5083,4938,40472,39124,39021,1542,2037,3674,3677,3904,69078
1210160970	8433,41260,39693,6021,1260,12288,1799,4594,63596,7228,2214,73662,63567,6063,2456,78212,4567,32935,1179,8118,72313,64325,5899,4683,433,2201,2350,26193,3668,40411
1210171850	3194,2819,4910,6059,2827,4975,2935,2870,4987,4909,5024,4919,2476,2876,2919,2938,3545,40565,4912,74223
1210178710	70353,74176,69688,4775,4367,39194,5822,73388,73786,855,2783,73917,73285,66303,6250,39038,32550,5867,999610,999217,73253,12485,33237,35423,38741,41112,4422,4886,63233,74004
